index,latency_ms
1,0.098687000
2,0.096273000
3,0.095859000
4,0.095969000
5,0.096018000
6,0.095035000
7,0.098379000
8,0.094618000
9,0.094935000
10,0.095603000
11,0.109458000
12,0.097224000
13,0.095841000
14,0.095737000
15,0.095102000
16,0.095525000
17,0.094901000
18,0.095481000
