index,latency_ms
1,0.024149000
2,0.021177000
3,0.025603000
4,0.026425000
5,0.019128000
6,0.018765000
7,0.029173000
8,0.019818000
9,0.018904000
10,0.019846000
11,0.035905000
12,0.019804000
13,0.019088000
14,0.019053000
15,0.023440000
16,0.019122000
17,0.018904000
18,0.019036000
19,0.026777000
20,0.018930000
