index,latency_ms
1,0.102006000
2,0.101042000
3,0.118647000
4,0.120869000
5,0.123151000
6,0.104054000
7,0.100148000
8,0.106786000
9,0.108242000
10,0.100395000
11,0.099406000
12,0.113750000
13,0.120604000
14,0.109350000
15,0.112816000
