index,latency_ms
1,0.307975000
2,0.322359000
3,0.294324000
4,0.303984000
5,0.312418000
6,0.319330000
7,0.287819000
8,0.377550000
9,0.290596000
10,0.300527000
11,0.284040000
12,0.322216000
