index,latency_ms
1,0.189277000
2,0.185094000
3,0.187730000
4,0.184623000
5,0.185684000
6,0.187441000
7,0.196108000
8,0.184470000
9,0.192581000
10,0.194165000
11,0.181464000
12,0.183397000
13,0.183272000
14,0.185517000
15,0.184573000
